center,date,classes,homework_done_pct,pt_done_pct,prayer_done_pct,extra_activity_pct
Pune-01,2024-01-31,75,0.51,0.61,0.38,0.2
Pune-01,2024-02-29,13,0.87,0.44,0.54,0.46
Pune-01,2024-03-31,35,0.51,0.68,0.54,0.47
Pune-01,2024-04-30,34,0.43,0.81,0.92,0.17
Pune-01,2024-05-31,18,0.49,0.82,0.94,0.21
Pune-01,2024-06-30,42,0.7,0.77,0.59,0.19
Pune-01,2024-07-31,77,0.45,0.6,0.91,0.19
Pune-01,2024-08-31,49,0.87,0.52,0.31,0.42
Pune-01,2024-09-30,29,0.92,0.69,0.33,0.28
Pune-01,2024-10-31,65,0.66,0.28,0.45,0.17
Pune-01,2024-11-30,11,0.5,0.81,0.53,0.05
Pune-01,2024-12-31,52,0.85,0.83,0.59,0.26
Pune-12,2024-01-31,61,0.4,0.56,0.64,0.45
Pune-12,2024-02-29,37,0.8,0.42,0.71,0.5
Pune-12,2024-03-31,76,0.68,0.69,0.81,0.42
Pune-12,2024-04-30,14,0.56,0.89,0.49,0.43
Pune-12,2024-05-31,52,0.8,0.41,0.64,0.54
Pune-12,2024-06-30,61,0.74,0.71,0.54,0.17
Pune-12,2024-07-31,37,0.47,0.88,0.59,0.37
Pune-12,2024-08-31,57,0.47,0.24,0.9,0.31
Pune-12,2024-09-30,79,0.42,0.58,0.37,0.21
Pune-12,2024-10-31,76,0.91,0.6,0.61,0.34
Pune-12,2024-11-30,37,0.49,0.61,0.63,0.55
Pune-12,2024-12-31,35,0.87,0.46,0.62,0.39
Mumbai-03,2024-01-31,31,0.78,0.25,0.51,0.23
Mumbai-03,2024-02-29,45,0.77,0.86,0.46,0.4
Mumbai-03,2024-03-31,62,0.82,0.41,0.64,0.58
Mumbai-03,2024-04-30,43,0.54,0.46,0.79,0.42
Mumbai-03,2024-05-31,75,0.8,0.48,0.87,0.23
Mumbai-03,2024-06-30,41,0.59,0.7,0.81,0.06
Mumbai-03,2024-07-31,53,0.69,0.35,0.39,0.4
Mumbai-03,2024-08-31,54,0.78,0.62,0.69,0.53
Mumbai-03,2024-09-30,20,0.49,0.4,0.77,0.53
Mumbai-03,2024-10-31,10,0.94,0.73,0.38,0.08
Mumbai-03,2024-11-30,41,0.79,0.49,0.56,0.53
Mumbai-03,2024-12-31,74,0.95,0.6,0.89,0.11
Delhi-05,2024-01-31,60,0.64,0.44,0.77,0.58
Delhi-05,2024-02-29,20,0.49,0.43,0.36,0.3
Delhi-05,2024-03-31,77,0.83,0.21,0.5,0.15
Delhi-05,2024-04-30,39,0.7,0.63,0.42,0.08
Delhi-05,2024-05-31,48,0.82,0.64,0.75,0.27
Delhi-05,2024-06-30,43,0.61,0.23,0.73,0.51
Delhi-05,2024-07-31,53,0.46,0.85,0.44,0.39
Delhi-05,2024-08-31,14,0.78,0.38,0.47,0.57
Delhi-05,2024-09-30,47,0.73,0.27,0.48,0.41
Delhi-05,2024-10-31,74,0.66,0.85,0.36,0.51
Delhi-05,2024-11-30,29,0.46,0.55,0.39,0.43
Delhi-05,2024-12-31,27,0.69,0.36,0.93,0.55
Bangalore-07,2024-01-31,19,0.83,0.83,0.33,0.43
Bangalore-07,2024-02-29,51,0.51,0.69,0.89,0.57
Bangalore-07,2024-03-31,55,0.7,0.89,0.86,0.49
Bangalore-07,2024-04-30,14,0.43,0.67,0.89,0.1
Bangalore-07,2024-05-31,57,0.43,0.88,0.48,0.41
Bangalore-07,2024-06-30,30,0.72,0.55,0.64,0.23
Bangalore-07,2024-07-31,66,0.81,0.85,0.43,0.19
Bangalore-07,2024-08-31,68,0.62,0.9,0.46,0.39
Bangalore-07,2024-09-30,21,0.76,0.83,0.69,0.15
Bangalore-07,2024-10-31,61,0.89,0.24,0.83,0.37
Bangalore-07,2024-11-30,11,0.93,0.57,0.4,0.44
Bangalore-07,2024-12-31,66,0.41,0.56,0.5,0.58
