center,date,amount,type,remarks
Pune-01,2024-01-31,18559,Transport,
Pune-01,2024-02-29,24670,Utilities,
Pune-01,2024-03-31,15058,Utilities,
Pune-01,2024-04-30,20796,Rent,
Pune-01,2024-05-31,23981,Snacks,
Pune-01,2024-06-30,23214,Stationery,
Pune-01,2024-07-31,32746,Stationery,
Pune-01,2024-08-31,22494,Snacks,
Pune-01,2024-09-30,22689,Utilities,
Pune-01,2024-10-31,28161,Transport,
Pune-01,2024-11-30,19313,Rent,
Pune-01,2024-12-31,21285,Stationery,
Pune-12,2024-01-31,51693,Rent,
Pune-12,2024-02-29,34735,Stationery,
Pune-12,2024-03-31,45212,Utilities,
Pune-12,2024-04-30,38801,Stationery,
Pune-12,2024-05-31,37656,Transport,
Pune-12,2024-06-30,47770,Transport,
Pune-12,2024-07-31,52209,Snacks,
Pune-12,2024-08-31,32177,Utilities,
Pune-12,2024-09-30,31847,Snacks,
Pune-12,2024-10-31,37953,Stationery,
Pune-12,2024-11-30,43319,Snacks,
Pune-12,2024-12-31,39918,Snacks,
Mumbai-03,2024-01-31,42867,Snacks,
Mumbai-03,2024-02-29,30398,Transport,
Mumbai-03,2024-03-31,55556,Snacks,
Mumbai-03,2024-04-30,51513,Stationery,
Mumbai-03,2024-05-31,30310,Rent,
Mumbai-03,2024-06-30,26054,Stationery,
Mumbai-03,2024-07-31,48854,Rent,
Mumbai-03,2024-08-31,43560,Utilities,
Mumbai-03,2024-09-30,33959,Rent,
Mumbai-03,2024-10-31,44932,Rent,
Mumbai-03,2024-11-30,51193,Stationery,
Mumbai-03,2024-12-31,45668,Snacks,
Delhi-05,2024-01-31,52530,Utilities,
Delhi-05,2024-02-29,54808,Transport,
Delhi-05,2024-03-31,64994,Snacks,
Delhi-05,2024-04-30,58163,Transport,
Delhi-05,2024-05-31,56453,Utilities,
Delhi-05,2024-06-30,60742,Rent,
Delhi-05,2024-07-31,49286,Rent,
Delhi-05,2024-08-31,52434,Utilities,
Delhi-05,2024-09-30,60203,Utilities,
Delhi-05,2024-10-31,59411,Rent,
Delhi-05,2024-11-30,54050,Transport,
Delhi-05,2024-12-31,55468,Utilities,
Bangalore-07,2024-01-31,64537,Snacks,
Bangalore-07,2024-02-29,65214,Snacks,
Bangalore-07,2024-03-31,60740,Transport,
Bangalore-07,2024-04-30,83294,Transport,
Bangalore-07,2024-05-31,79987,Transport,
Bangalore-07,2024-06-30,56302,Stationery,
Bangalore-07,2024-07-31,62146,Transport,
Bangalore-07,2024-08-31,65670,Snacks,
Bangalore-07,2024-09-30,55269,Rent,
Bangalore-07,2024-10-31,59332,Utilities,
Bangalore-07,2024-11-30,77780,Transport,
Bangalore-07,2024-12-31,55529,Snacks,
