center,date,type,notes
Pune-01,2024-04-27,Low Attendance,Auto-generated problem note
Pune-01,2024-08-05,Material Shortage,Auto-generated problem note
Pune-01,2024-03-03,Low Attendance,Auto-generated problem note
Pune-01,2024-12-26,Material Shortage,Auto-generated problem note
Pune-01,2024-04-11,Low Attendance,Auto-generated problem note
Pune-12,2024-02-19,Low Attendance,Auto-generated problem note
Pune-12,2024-09-02,Staff Shortage,Auto-generated problem note
Mumbai-03,2024-12-26,Low Attendance,Auto-generated problem note
Mumbai-03,2024-09-04,Low Attendance,Auto-generated problem note
Delhi-05,2024-01-19,Material Shortage,Auto-generated problem note
Delhi-05,2024-04-23,Low Attendance,Auto-generated problem note
Delhi-05,2024-04-09,Low Attendance,Auto-generated problem note
Delhi-05,2024-11-30,Staff Shortage,Auto-generated problem note
Delhi-05,2024-02-12,Material Shortage,Auto-generated problem note
Bangalore-07,2024-01-11,Low Attendance,Auto-generated problem note
